Variety ,B-Pinene,Myrcene,Linalool,Caryophyllene,Farnesene,Humulene,Geraniol,Other,Alpha,Beta
AHTANUM™ YCR 1 CV.,0.91,54.11,0.36,10.05,0.12,20.69,0.27,13.51,4.3,5
AMARILLO® VGXP01 CV.,0.79,52.14,0.61,6.53,6.39,17.9,0.16,15.48,9,6.2
BITTER GOLD,0.82,53.02,0.54,8.62,0.19,13.49,0.15,23.17,13.6,5.6
Bravo,1.02,62.37,0.47,6.62,0.19,8.97,0.5,19.85,16.1,4.4
Brewers Delight,0.76,45.9,0.45,8.8,0.62,15.22,0.28,27.99,11.4,5
Brewers Gold,0.84,56.44,0.68,9.61,0.23,15.65,1.34,15.21,10,5.2
BULLION,0.76,49.11,0.74,10.95,0.43,18.84,0.21,18.98,8.1,4.4
CASCADE,0.83,56.33,0.49,6.23,6.3,14.19,0.18,15.44,7.4,7
Centennial,1.09,65.37,0.67,5.23,0.2,10.68,1.14,15.63,10.2,4
CHELAN,0.7,50.35,0.39,10.09,0.18,12.66,0.27,25.36,14.1,9.4
CHINOOK,0.6,38.21,0.45,8.5,0.3,18.35,0.59,33,13.2,3.7
CITRA® HBC 394 CV.,0.88,66.53,0.77,5.58,0.15,8.73,0.3,17.07,13.8,3.7
Cluster,0.67,43.69,0.46,8.45,0.31,18.82,0.83,26.78,8.2,5.3
Columbus,0.89,53.2,0.45,7.58,0.23,11.99,0.26,25.39,16.5,5.4
CRYSTAL,0.67,44.67,0.9,7.34,0.12,26.58,0.59,19.14,4.6,7.3
EQUINOX™ HBC 366 CV.,0.5,34.09,0.56,10.9,0.29,19.07,0.33,34.26,15.2,4.8
Fuggle,0.35,24.24,0.78,14.01,6.54,36.37,0.11,17.6,4.4,2.7
Galena,0.71,47.45,0.42,7.44,0.22,13.53,0.41,29.82,14.7,8.7
Glacier,0.58,43.95,0.79,9.11,0.21,29.08,0.23,16.06,5,7.2
Golding,0.36,25.89,0.79,12.37,0.71,39.84,0.09,19.95,5.1,2.3
GR Brewers Gold,0.5,26.55,0.52,14.61,0.2,30.48,1.16,25.98,4.7,3.7
GR HALLERTAU,0.34,24.93,0.79,10.37,2.08,36.18,0.26,25.05,3.8,5.1
GR Herkules,0.64,44.25,0.27,7.14,0.19,25.62,0.16,21.73,17.2,5.7
GR Northern Brewer,0.58,35.47,0.49,12.34,0.1,32.41,0.18,18.42,6.8,4.3
GR PERLE,0.4,25.91,0.32,14.67,6.62,40.38,0.06,11.63,6.1,5
GR Tettnang,0.22,11.8,0.52,7.74,23.7,27.12,0.14,28.76,3.4,4.9
Hallertau,0.41,30.9,0.77,9.64,5.7,32.39,0.23,19.97,4.9,3.1
HORIZON,0.7,49.79,1.1,11.13,3.51,16.36,0.22,17.21,10.4,6.3
Liberty,0.41,29.94,1.06,9.58,0.55,37.86,0.1,20.5,4.7,3.6
Magnum,0.63,41.24,0.39,9.98,0.47,31.21,0.14,15.94,13.7,6.5
MILLENNIUM,0.65,44.55,0.55,9.26,0.21,22.2,0.13,22.46,16.8,5.3
MOSAIC™ HBC 369 CV.,0.89,61.84,0.69,4.24,0.12,10.62,0.59,21,13.2,3.7
MT. HOOD,0.65,41.97,0.83,12.49,0.2,26.8,0.26,16.81,6.5,6.9
Mt. Rainier,0.78,58.04,0.82,7.66,0.1,17.92,0.29,14.42,6.1,7.3
Newport,0.79,52.21,0.49,9.24,0.41,17.32,0.2,19.37,11.6,6.5
Northern Brewer,0.66,39.86,0.48,13.24,0.61,29.44,0.15,15.56,8.2,4.2
Nugget,0.67,51.15,1.02,9.07,0.26,18.8,0.07,18.97,15.3,4.5
PALISADE® YCR 4 CV.,0.83,52.51,0.43,11.92,0.2,14.89,0.25,18.97,8.4,7.3
PERLE,0.5,33.04,0.41,14.03,1.03,35.28,0.22,15.48,8.3,3.9
Saaz,0.49,32.28,0.71,10.78,10.84,28.18,0.22,16.49,6.3,5.2
Santiam,0.34,24.59,0.87,7.88,17.04,25.81,0.05,23.43,7.4,7.3
SIMCOE® YCR 14 CV.,0.78,50.35,0.61,8.72,0.2,17.42,0.66,21.25,13.6,4
SORACHI ACE,0.75,50.49,0.51,7.63,5.03,22.62,0.31,12.67,11.7,6.8
ST AURORA,0.53,36.68,1,7.27,6.53,24.16,0.85,22.99,7.2,3.3
ST Celeia,0.27,17.6,0.79,12.82,7.15,32.13,0.11,29.14,2.7,2.5
STERLING,0.57,40.13,0.66,6.66,17.64,19.33,0.21,14.8,8,5.3
Summit™,0.67,41.41,0.33,12.85,0.33,19.21,0.3,24.92,17.1,5.3
TAHOMA,0.93,64.23,0.71,3.79,0.21,11.68,0.35,18.1,6.8,7.7
TETTNANG,0.39,28.82,0.76,13.48,5.66,33.59,0.15,17.16,4.9,2.9
TRIPLEPEARL,0.77,55.89,0.8,3.92,0.28,7.2,0.09,31.05,9.3,3.2
UK ADMIRAL,0.08,4.8,0.17,14.21,6.58,46.87,0.12,27.17,14.2,7.2
UK EAST KENT GOLDING,0.29,15.63,0.56,14.93,1.07,45.95,0.15,21.42,5.1,3
UK WGV,0.31,22.42,0.56,12.54,1.01,40.36,0.13,22.67,5.9,3.8
